timestamp,open,high,low,close,volume
2026-03-14 12:00:00,2073.67,2080.65,2069.8,2074.72,22427.7115
2026-03-14 16:00:00,2074.72,2079.47,2069.19,2077.49,10772.0777
2026-03-14 20:00:00,2077.5,2099.69,2076.2,2096.16,22925.6209
2026-03-15 00:00:00,2096.16,2107.91,2083.35,2096.15,28619.3164
2026-03-15 04:00:00,2096.15,2115.95,2096.13,2105.64,22147.2871
2026-03-15 08:00:00,2105.64,2123.44,2105.64,2119.63,21019.7068
2026-03-15 12:00:00,2119.63,2119.83,2086.34,2093.79,45875.4183
2026-03-15 16:00:00,2093.79,2117.86,2088.84,2113.49,31467.5941
2026-03-15 20:00:00,2113.49,2202.87,2110.0,2178.3,131696.615
2026-03-16 00:00:00,2178.29,2253.48,2164.73,2235.67,133968.0991
2026-03-16 04:00:00,2235.67,2288.63,2235.67,2248.95,186961.7977
2026-03-16 08:00:00,2248.95,2280.0,2234.92,2269.94,89322.6948
2026-03-16 12:00:00,2269.94,2308.54,2255.04,2273.88,178036.6219
2026-03-16 16:00:00,2273.88,2348.06,2270.0,2330.92,127675.3126
2026-03-16 20:00:00,2330.92,2386.02,2323.68,2352.97,129928.2495
2026-03-17 00:00:00,2352.97,2376.66,2308.03,2320.0,159041.6195
2026-03-17 04:00:00,2320.01,2337.86,2294.15,2327.7,86783.2765
2026-03-17 08:00:00,2327.71,2335.35,2304.0,2326.82,59820.3103
2026-03-17 12:00:00,2326.81,2357.73,2304.27,2315.98,105064.0596
2026-03-17 16:00:00,2315.98,2342.7,2312.44,2320.22,50434.4264
2026-03-17 20:00:00,2320.22,2344.69,2316.78,2317.39,32687.4093
2026-03-18 00:00:00,2317.38,2350.0,2307.0,2340.61,39754.8685
2026-03-18 04:00:00,2340.61,2342.0,2311.53,2317.74,32757.9854
2026-03-18 08:00:00,2317.73,2333.62,2263.43,2269.34,70784.1433
2026-03-18 12:00:00,2269.33,2270.5,2168.97,2187.66,170394.1198
2026-03-18 16:00:00,2187.67,2220.0,2166.87,2185.85,99070.471
2026-03-18 20:00:00,2185.85,2206.88,2153.21,2203.39,75279.3007
2026-03-19 00:00:00,2203.39,2233.72,2187.24,2212.29,52579.6266
2026-03-19 04:00:00,2212.29,2213.11,2143.14,2166.68,79211.2867
2026-03-19 08:00:00,2166.68,2192.07,2158.09,2166.92,65786.0455
2026-03-19 12:00:00,2166.92,2167.48,2099.38,2118.81,165314.3215
2026-03-19 16:00:00,2118.81,2156.92,2104.87,2141.19,86393.2993
2026-03-19 20:00:00,2141.18,2155.62,2130.57,2137.81,41507.0994
2026-03-20 00:00:00,2137.82,2160.78,2132.69,2151.38,44494.7603
2026-03-20 04:00:00,2151.38,2159.24,2121.25,2150.54,43279.9495
2026-03-20 08:00:00,2150.53,2176.84,2131.56,2141.5,61690.4049
2026-03-20 12:00:00,2141.49,2152.74,2116.88,2134.01,68483.295
2026-03-20 16:00:00,2134.0,2144.76,2117.41,2132.91,45009.742
2026-03-20 20:00:00,2132.91,2168.0,2123.96,2146.22,37198.0261
2026-03-21 00:00:00,2146.21,2159.87,2144.24,2153.6,15716.7385
2026-03-21 04:00:00,2153.59,2161.34,2150.36,2155.67,16494.1831
2026-03-21 08:00:00,2155.67,2159.52,2149.57,2157.37,12040.1339
2026-03-21 12:00:00,2157.37,2168.27,2146.45,2155.12,19951.1534
2026-03-21 16:00:00,2155.13,2155.64,2142.01,2152.16,13965.6408
2026-03-21 20:00:00,2152.17,2157.0,2070.78,2084.87,54391.6149
2026-03-22 00:00:00,2084.86,2127.21,2050.12,2113.83,109521.6483
2026-03-22 04:00:00,2113.83,2122.94,2092.35,2093.38,32643.6328
2026-03-22 08:00:00,2093.4,2096.82,2066.97,2069.98,43062.5355
2026-03-22 12:00:00,2069.97,2092.63,2068.37,2083.1,34314.2881
2026-03-22 16:00:00,2083.1,2084.45,2054.35,2063.21,27972.3686
2026-03-22 20:00:00,2063.22,2074.16,2026.0,2053.89,65556.0839
2026-03-23 00:00:00,2053.9,2072.33,2035.69,2052.54,46093.4891
2026-03-23 04:00:00,2052.53,2072.11,2023.04,2044.72,57516.0292
2026-03-23 08:00:00,2044.73,2198.57,2028.2,2134.78,192147.2097
2026-03-23 12:00:00,2134.78,2192.44,2107.43,2128.45,199243.9292
2026-03-23 16:00:00,2128.46,2178.74,2117.77,2154.46,93011.0763
2026-03-23 20:00:00,2154.45,2166.81,2140.71,2152.03,26496.7034
2026-03-24 00:00:00,2152.03,2156.22,2124.26,2141.59,43067.6466
2026-03-24 04:00:00,2141.59,2170.65,2128.84,2165.61,46075.0579
2026-03-24 08:00:00,2165.61,2175.16,2147.36,2165.9,40140.7495
2026-03-24 12:00:00,2165.89,2170.52,2120.0,2135.15,80333.0075
2026-03-24 16:00:00,2135.15,2140.57,2103.02,2116.87,59554.7786
2026-03-24 20:00:00,2116.86,2163.7,2115.63,2156.23,47532.2327
2026-03-25 00:00:00,2156.22,2168.63,2146.35,2158.54,35228.5599
2026-03-25 04:00:00,2158.53,2179.73,2156.83,2164.57,38937.4198
2026-03-25 08:00:00,2164.57,2199.02,2164.57,2186.41,56767.0182
2026-03-25 12:00:00,2186.41,2198.16,2147.67,2162.56,76609.8458
2026-03-25 16:00:00,2162.56,2186.85,2155.93,2172.69,46113.5072
2026-03-25 20:00:00,2172.68,2183.5,2159.42,2169.02,21985.1746
2026-03-26 00:00:00,2169.02,2172.19,2144.05,2153.21,29526.6584
2026-03-26 04:00:00,2153.22,2154.58,2112.17,2123.64,49214.7706
2026-03-26 08:00:00,2123.64,2126.89,2062.94,2068.44,76476.7034
2026-03-26 12:00:00,2068.45,2093.79,2052.01,2070.4,74259.0218
2026-03-26 16:00:00,2070.4,2070.95,2034.54,2049.12,65545.1975
2026-03-26 20:00:00,2049.11,2080.42,2046.54,2060.43,42988.2721
2026-03-27 00:00:00,2060.43,2077.19,2056.8,2061.48,22743.3242
2026-03-27 04:00:00,2061.49,2072.36,2043.49,2066.23,52118.1988
2026-03-27 08:00:00,2066.24,2069.6,1983.02,1991.8,119274.8749
2026-03-27 12:00:00,1991.8,2010.45,1970.93,1991.32,108873.3737
2026-03-27 16:00:00,1991.32,1997.73,1974.48,1991.71,70350.7315
2026-03-27 20:00:00,1991.7,1996.31,1980.0,1992.75,21513.0217
2026-03-28 00:00:00,1992.76,1995.16,1983.17,1989.19,17995.8198
2026-03-28 04:00:00,1989.19,2008.35,1987.3,2007.07,18318.467
2026-03-28 08:00:00,2007.07,2008.34,1992.77,1997.64,18237.6229
2026-03-28 12:00:00,1997.64,2047.45,1992.25,2026.84,65210.0923
2026-03-28 16:00:00,2026.84,2030.23,2016.5,2020.56,12710.5504
2026-03-28 20:00:00,2020.57,2026.48,1989.64,1994.74,22359.2531
2026-03-29 00:00:00,1994.74,2019.65,1991.52,2011.1,16613.2608
2026-03-29 04:00:00,2011.1,2012.72,1997.67,2006.14,12828.4597
2026-03-29 08:00:00,2006.14,2008.16,1991.9,2003.78,15067.8231
2026-03-29 12:00:00,2003.78,2004.9,1983.56,1992.97,25232.6686
2026-03-29 16:00:00,1992.98,2003.61,1987.6,1995.89,16964.0358
2026-03-29 20:00:00,1995.89,2009.48,1938.82,1984.64,80020.4902
2026-03-30 00:00:00,1984.65,2043.5,1980.28,2035.88,70029.5862
2026-03-30 04:00:00,2035.88,2068.28,2035.88,2059.58,52260.9134
2026-03-30 08:00:00,2059.58,2081.65,2048.14,2071.28,50627.4687
2026-03-30 12:00:00,2071.29,2085.0,2044.25,2074.53,70195.1822
2026-03-30 16:00:00,2074.53,2074.99,2013.33,2023.7,60238.4065
2026-03-30 20:00:00,2023.7,2049.1,2013.92,2026.48,34952.8774
2026-03-31 00:00:00,2026.48,2092.34,2016.29,2066.71,66502.1402
2026-03-31 04:00:00,2066.71,2072.24,2042.31,2055.97,34849.5818
2026-03-31 08:00:00,2055.98,2059.2,2012.64,2041.2,62779.5377
2026-03-31 12:00:00,2041.21,2092.0,2035.02,2054.85,95949.4482
2026-03-31 16:00:00,2054.85,2124.03,2054.29,2096.54,126072.2648
2026-03-31 20:00:00,2096.54,2111.01,2088.35,2105.43,35744.9296
2026-04-01 00:00:00,2105.43,2117.79,2082.08,2102.91,37975.9983
2026-04-01 04:00:00,2102.91,2158.0,2100.35,2131.0,78179.0218
2026-04-01 08:00:00,2131.0,2142.93,2125.0,2135.32,46234.2524
2026-04-01 12:00:00,2135.32,2152.0,2108.72,2135.04,77261.013
2026-04-01 16:00:00,2135.04,2167.85,2123.58,2141.43,74639.0666
2026-04-01 20:00:00,2141.43,2165.42,2130.7,2140.35,84938.0258
2026-04-02 00:00:00,2140.35,2159.37,2046.48,2056.33,108784.5193
2026-04-02 04:00:00,2056.33,2058.45,2038.63,2056.09,45874.1458
2026-04-02 08:00:00,2056.09,2056.09,2024.73,2033.01,34776.9717
2026-04-02 12:00:00,2033.02,2072.22,2017.04,2059.6,88821.5481
2026-04-02 16:00:00,2059.59,2077.64,2043.65,2065.34,44924.9508
2026-04-02 20:00:00,2065.35,2074.16,2053.54,2057.17,23690.6966
2026-04-03 00:00:00,2057.18,2062.49,2040.66,2054.23,27862.5809
2026-04-03 04:00:00,2054.22,2075.17,2047.35,2065.85,24471.2575
2026-04-03 08:00:00,2065.84,2072.0,2053.46,2062.64,21397.6282
2026-04-03 12:00:00,2062.64,2081.76,2041.65,2051.26,34731.975
2026-04-03 16:00:00,2051.26,2056.54,2043.78,2052.68,12701.8429
2026-04-03 20:00:00,2052.69,2060.92,2049.23,2053.83,15101.3548
2026-04-04 00:00:00,2053.83,2053.86,2047.92,2050.05,7032.7972
2026-04-04 04:00:00,2050.05,2058.0,2048.41,2053.82,9175.3802
2026-04-04 08:00:00,2053.82,2055.44,2047.89,2051.84,11621.7432
